club name,club description,club sponsor,club email,club recognition_year
"Kappa Delta Chi, Sorority Inc. Alpha Psi Chapter","Kappa Delta Chi Sorority, Inc. is a Latina founded, 501(c)(7), national sorority who aims to achieve professional development, academic excellence, and graduation of all its members; an organization dedicated to community service to their local university communities with an emphasis on the Hispanic/Latino population.","Index Negative Balance , Center for Fraternity & Sorority Life",KappaDeltaChi.clubs@oregonstate.edu,Recognized For: 2023/2024
Kappa Kappa Gamma,"“Kappa Kappa Gamma believes in all that is fine in life, and thought, and character.” Kappa is an extraordinary group of girls that share a lasting bond. The support we find in each other gives us the motivation to achieve our individual aspirations. We are recognized for our Greek involvement on campus and in the local community. Our members are proactive with student government, service, and leadership. We understand that your college experience can be defined by those with whom you choose to share it. This is why we have chosen to share our college adventures with genuine and “klassy” girls. Our home away from home here at Oregon State has provided us with friendships that will last a lifetime.","Affiliated Student Organization, Center for Fraternity & Sorority Life",KappaKappaGamma.clubs@oregonstate.edu,Recognized For: 2023/2024
"Kappa Kappa Psi, Theta Chapter",National Honorary Band Service Fraternity,"Voluntary Student Organization, Student Experiences & Engagement",KappaKappaPsi.clubs@oregonstate.edu,Recognized For: 2023/2024
Kappa Sigma,"Kappa Sigma is the largest college social fraternity in the world with more than 200,000 living members including 20,000 undergraduates and 274 chapters throughout the United States and Canada. Founded in 1869 at the University of Virginia, Kappa Sigma focuses on creating better men through the four pillars of fellowship, leadership, scholarship, and service. At Oregon State, Kappa Sigma has maintained a chapter since 1915 having helped make a difference in the lives of nearly 2,000 men. Since 1935, our Chapter House, located only two blocks from OSU's campus, has served as a home away from home for each and every one of our members even well after they graduate.","Affiliated Student Organization, Center for Fraternity & Sorority Life",KappaSigma.clubs@oregonstate.edu,Recognized For: 2023/2024
Karate Club,The karate club is dedicated to studying karate—because of this we do not denote a specific style of karate and we invite all to come and train with us! The first hour we will typically do some kind of work out that will focus on techniques and physical training. The second hour we will change it up the pace of the class and work on kata (forms) and sparring. This club is open to all Oregon State Community members from beginner to experts of not only karate but of all disciplines and styles!,"Department Student Organization, Rec Sports/Sport Clubs",karate@oregonstate.edu,Recognized For: 2023/2024
Kendo Club,"We practice the sport of Kendo, a Japanese martial art based on traditional swordsmanship. Practitioners face each other using flexible bamboo swords while wearing protective gear and try to strike specific locations on their opponent's bodies. Everyone is welcome! No experience needed.","Department Student Organization, Rec Sports/Sport Clubs",kendo@oregonstate.edu,Recognized For: 2023/2024
Keyboard Club at OSU,"The purpose of KBCOSU is to provide a space for Oregon State University students and associated community members in the keyboard hobby to connect and collaborate in their shared interest. KBCOSU will provide both meetups and an online space (conducted through Discord) for members to share, discuss, and participate in the hobby.","Voluntary Student Organization, Student Experiences & Engagement",keyboard.clubs@oregonstate.edu,Recognized For: 2023/2024
Kinetic,Kinetic is a K-Pop dance club at OSU. We strive to connect diverse students who share a passion for K-Pop through dancing and community events.,"Voluntary Student Organization, Student Experiences & Engagement",Kinetic.clubs@oregonstate.edu,Recognized For: 2023/2024
Korean Student Association,The goal of our club is to create an extended community for Korean students and bring cultural awareness to communities at Oregon State University.,"Voluntary Student Organization, Student Experiences & Engagement",KSA.clubs@oregonstate.edu,Recognized For: 2023/2024
Kuwaiti Student Association,Kuwaiti Student Association is an association that seeks to helping Kuwaiti students adjust to living abroad and building a mini-Kuwait here at Oregon state university.,"Voluntary Student Organization, Student Experiences & Engagement",KuwaitiStudentAssociation.clubs@oregonstate.edu,Recognized For: 2023/2024
"Laboratory Animal and Animal Research Club, American Society of Laboratory Animal Practitioners, SC",Club focusing on laboratory animal medicine and animal research. Hosts several lab animal and research focused events throughout the year. Only open to professional students enrolled in the College of Veterinary Medicine.,"Voluntary Student Organization, Student Experiences & Engagement",LabAnimalResearch.clubs@oregonstate.edu,Recognized For: 2023/2024
Laboratory Safety Team (LST)-Department of Chemistry,"The Laboratory Safety Team (LST) in the Department of Chemistry at the Oregon State University is a student-led initiative to instill a culture of laboratory safety within academic labs across the University. Lab Safety is extremely important and should be student-driven. LST organization aims to develop and implement safety programs to make the Chemistry department better spearhead student professional development and make them industry-ready when they leave OSU. It also aims to create a supportive and informal environment for students to interact with PI’s and EH&S professionals regarding laboratory safety matters. This organization makes it possible for students to engage with people from various backgrounds (faculty, staff, EH&S, other safety teams) which as a result can broaden understanding of safety standards and help implement them in any work scenario.","Department Student Organization, Student Experiences & Engagement",lstchem@oregonstate.edu,Recognized For: 2023/2024
Lambda Chi Alpha Fraternity,"The vision of Lambda Chi Alpha Fraternity is to prepare and encourage collegiate men of good character, high ethics, and noble ideals to contribute positively to the world in which they live.

The mission of Lambda Chi Alpha is to offer the best fraternal experience, focusing on personal character development through leadership, scholarship, community service, and positive social experiences.","Affiliated Student Organization, Center for Fraternity & Sorority Life",LambdaChiAlpha.clubs@oregonstate.edu,Recognized For: 2023/2024
Latinx Veterinary Medical Association,Latinx Veterinary Medical Association- improving diversity and inclusion as well as empowering Latinx individuals in the veterinary profession,"Voluntary Student Organization, Student Experiences & Engagement",LVMA.clubs@oregonstate.edu,Recognized For: 2023/2024
"Law, Environmental Economics, Agriculture and Policy Club","LEAP Club (Law, Environmental Economics, Agriculture, and Policy Club) strives to build a collective of forward-thinking students who share a vested interest in exploring the connections between law, agriculture, the environment, economics, and policy though interaction with academia, industry professionals, the OSU community, governments, and each other.","Index Negative Balance , Student Experiences & Engagement",LEAP.clubs@oregonstate.edu,Recognized For: 2023/2024
Let's Talk About Sex,"College is an environment where many students are exposed to their first sexual experiences. Many students have questions or experience anxieties related to sex and sexuality. This organization gives students a safe space to discuss these topics with their peers to reduce personal shame and misinformation about sex and sexuality with an emphasis on pleasure  and joy. The purpose of this organization is to create an open, inclusive, and respectful environment in which students may engage in discussion about topics relating to sex and sexuality, with an emphasis on pleasure and joy.","Voluntary Student Organization, Student Experiences & Engagement",letstalkaboutsex.clubs@oregonstate.edu,Recognized For: 2023/2024
Lez-Be Social,"Lez-Be Social is a casual club meant to provide a space for lesbians at OSU to connect and socialize. Meetings are weekly and sometimes include activities. All genders, sexualities, and ecampus students are welcome.","Voluntary Student Organization, Student Experiences & Engagement",LezBeSocial.clubs@oregonstate.edu,Recognized For: 2023/2024
Linux Users Group at Oregon State,"We are a highly active and self-organizing group dedicated to teaching and advocating for free and open source software (FOSS) and Linux on campus. Members join either because they are new users of FOSS and would like help, or because they are active users and want to help promote related topics.

Our meetings vary in the type of content hosted, often including guest speakers covering topics about emerging technologies, project show-and-tell, and internal club competitions.

Since 2004 we have benefited the Oregon State student body by providing free support for Linux, increasing awareness about the open source movement, and jointly creating events with other groups on campus. We share many members with the OSU Open Source Education Lab and the OSU Security Club, and we are hosted by the OSU Open Source Lab.

We have open meetings every Tuesday at 6:00 pm in KEC 1005 and online via Jitsi. All students and community members are welcome to attend!",Sponsored Student Organization sponsored by Electrical Engineering and Computer Science,LinuxUsersGroup.clubs@oregonstate.edu,Recognized For: 2023/2024
Luther House,"In keeping with the tradition of the Lutheran Church in an academic setting, LCM exists to: develop well-rounded student leaders, advance and nurture Christian hospitality, build community, promote spiritual exploration, engage in service that embodies care for others and creation, and invites students to participate more deeply in the community that bears Christ’s name.  LCM is committed to being a welcoming community that is non-judgmental, service-oriented, respecting all viewpoints, modeling genuine dialog, encouraging of spiritual exploration, and living conscientiously in the world.  Such activities that foster these values include, but are not limited to: worship, programs and classes, service projects, social events, leadership training, dialog, and others.","Voluntary Student Organization, Student Experiences & Engagement",LutherHouse.clubs@oregonstate.edu,Recognized For: 2023/2024
M.E.Ch.A. (Movimiento Estudiatil Chican@s de Aztlan),"MEChA is a national organization. We are a group that fights for our educational rights and all matters that affect diverse communities. The chapter at Oregon State University is just one of the many in the state of Oregon, Aztlán del Noroeste region, but we retain the right to determine or own course of action under the general goals and objectives of Chicanx/Hispanic/Mexicanx/Latinx students. MEChA stands for Movimiento Estudiantil Chicanxs de Aztlan. 

We are a MOVEMENT whose aim is self-determination, whose ideas and actions cannot be stopped until they are accomplished. 
ESTUDIANTIL, as students, we realize that we are only part of a much larger movement of people that includes farmworkers, packinghouse workers, factory workers, professionals, and others who are fighting for equality in their own struggles. 
CHICANX is our identity. It rejected the old notion that we were merely a minority group that was a part of the Anglo-American melting pot. It is a symbol of resistance as well as a symbol of unity. It is a demand for self-identity, and at the same time, an assertion of the pride we have for our unique history and culture. It is the clearest expression of national consciousness, as well as the loudest demand for self-determination that we could express.

Chicanx refers to one's attitude, political ideals, and way of life; therefore, we welcome all to our organization that champion our similar goals and beliefs. Being a member of M.E.Ch.A. is not limited to a classification of color, race, ethnicity, religion, gender, sexual orientation, or ability. It means giving back to our community and neighborhoods, more opportunities to our children than we had, never forgetting where we came from.","Voluntary Student Organization, Student Experiences & Engagement",MEChA.clubs@oregonstate.edu,Recognized For: 2023/2024
Marine Renewable Energy Club,"The purpose of the MREC is to better facilitate interdisciplinary communication and activities between students and professionals who are contributing to the advancement of marine renewable energy and sustainable, equitable maritime practices. Students currently working in this field are associated with the OSU Pacific Marine Energy Center (PMEC). PMEC is a consortium of universities focused on the responsible advancement of marine renewable energy by expanding scientific understanding, engaging stakeholders, and educating students.","Voluntary Student Organization, Student Experiences & Engagement",MREC.clubs@oregonstate.edu,Recognized For: 2023/2024
Marketing Club at Oregon State University,"The purpose of this association is to complement the College of Business marketing program curriculum by providing networking opportunities and real-world experience. We achieve this through hands-on marketing activities, professional development opportunities, and exposure to the field of marketing through guest speakers and events.",Sponsored Student Organization sponsored by College of Business,Marketing.clubs@oregonstate.edu,Recognized For: 2023/2024
Marksmanship Club,"Refounded in 2022, the OSU Marksmanship Club is dedicated to the safe firearm handling and marksmanship. Club offers opportunities for members to participate in a variety of shooting sports.","Department Student Organization, Rec Sports/Sport Clubs",marksmanship@oregonstate.edu,Recognized For: 2023/2024
Math Club at OSU,"The Math Club brings together math enthusiasts to explore the breadth and beauty of mathematics, organize presentations and workshops, learn about academic and career opportunities, and meet other students to share each others’ advice, enthusiasm, and company.",Sponsored Student Organization sponsored by Mathematics,mathclub@math.oregonstate.edu,Recognized For: 2023/2024
MCAT Prep Club,"The mission of our organization is to empower undergraduate students with the essential skills necessary to excel on the MCAT, a vital component in gaining acceptance to medical school. Our bi-weekly meetings will delve into the array of science subjects vital for MCAT success. The current support infrastructure for Pre-Med students at Oregon State University is inadequate. We are not provided the necessary resources essential for achieving success in medical school applications. The MCAT Club aims to bridge this gap by providing comprehensive reviews and tailored instruction on the key topics covered in the MCAT exam. We will delve into intricate details of its content to equip our members for maximum success.","Voluntary Student Organization, Student Experiences & Engagement",mcatprep.clubs@oregonstate.edu,Recognized For: 2023/2024
Meat Science Club,"The purpose of this association is to learn, analyze, and participate in the challenges that the food industry faces. To achieve this, we will provide an opportunity to enhance knowledge of food production while seeking connections within the industry, which a student can utilize to advance a potential career.","Voluntary Student Organization, Student Experiences & Engagement",MeatScience.clubs@oregonstate.edu,Recognized For: 2023/2024
Medical Brigades in Corvallis,"Global Brigades is the world’s largest student-led global health and sustainable development organization. Since 2004, Global Brigades has mobilized tens of thousands of university students and professionals through skill-based programs that work in partnership with community members to improve the quality of life in under-resourced regions while respecting the local culture.","Voluntary Student Organization, Student Experiences & Engagement",MedicalBrigades.clubs@oregonstate.edu,Recognized For: 2023/2024
Men's Lacrosse Club,"The Oregon State Men's Lacrosse Program is recognized as one of the top club lacrosse programs on the West Coast. The club is driven to improve and grow its members in lacrosse, leadership, and academic success.","Department Student Organization, Rec Sports/Sport Clubs",mens.lacrosse@oregonstate.edu,Recognized For: 2023/2024
Men's Rugby Club,"The OSU Men’s Rugby Club has the passion and determination to grow and develop the modern game of rugby in Oregon. We warmly welcome all athletes who are keen to give their best focus and commitment, to learning to play this exciting modern game at the highest levels. We compete in the Northwest College Rugby Conference with university teams throughout the Pacific Northwest. We will be doing 15s in the Fall and Winter and then transition to 7s in the spring.","Department Student Organization, Rec Sports/Sport Clubs",mens.rugby@oregonstate.edu,Recognized For: 2023/2024
Men's Soccer Club,A competitive club that aims to be the best in our league. We regularly place first or second in our competitive division that has teams regularly play at the national level. We practice 2-3 times a week and travel on the weekends for games. We also participate in tournaments and play indoor soccer at Corvallis Sports Park. A great place to connect with the soccer community at the university and make some new friends.,"Department Student Organization, Rec Sports/Sport Clubs",mens.soccerclub@oregonstate.edu,Recognized For: 2023/2024
Men's Ultimate Disc Club,"We are the OSU Men's Ultimate team. We are a competitive team and practice 3 times a week.  We compete in tournaments around the northwest. All skill levels welcome, fall term focuses on development and learning the game. Winter term is the competitive season where we focus on becoming the best we can.","Department Student Organization, Rec Sports/Sport Clubs",mens.ultimate@oregonstate.edu,Recognized For: 2023/2024
Men's Volleyball,Provides an environment for members to learn the fundamentals of the game of volleyball in a competitive setting. Also provides advanced players with a chance to continue their experience on our competitive travel teams.,"Department Student Organization, Rec Sports/Sport Clubs",mens.volleyball@oregonstate.edu,Recognized For: 2023/2024
Men's Water Polo Club,"Play competitive water polo, make friends, and participate in social events. The club is open to all skill levels.","Department Student Organization, Rec Sports/Sport Clubs",mens.waterpolo@oregonstate.edu,Recognized For: 2023/2024
Microbiology Graduate Student Association at Oregon State University,"The Microbiology Graduate Student Association at Oregon State University aims to adhere to the following objectives:  	
●	Promote the professional development of graduate students
●	Build and strengthen the graduate student community within the department
●	Facilitate outreach and science communication
●	Advocate and support microbiology graduate students within the department, College of Science and College of Agricultural Science, and the university","Voluntary Student Organization, Student Experiences & Engagement",MicrobiologyGrads.clubs@oregonstate.edu,Recognized For: 2023/2024
Microbiology Student Association,Microbiology Student Association represents the interests of the undergraduate students studying in the department of microbiology. It serves as an excellent opportunity for students to meet their peers and the faculty while learning about career options and becoming more involved in the community.,"Voluntary Student Organization, Student Experiences & Engagement",Microbiology.clubs@oregonstate.edu,Recognized For: 2023/2024
"Minorities in Agriculture, Natural Resources and Related Sciences","OSU-MANRRS provides a framework for the academic, professional and social development of underrepresented students in fields of agriculture, natural resources and related sciences through leadership, community service, ​and professional development activities.
MANRRS not only provides leadership experience but also strives to arrange networking and professional development opportunities for members. The National MANRRS Annual Career Fair and Training Conference is an excellent event that leads to significant member recruitment and retention. The MANRRS National Conference enables our members to connect with faculty, professionals and fellow students with similar interests from across the United States.",Sponsored Student Organization sponsored by College of Agricultural Sciences,MANRRS.clubs@oregonstate.edu,Recognized For: 2023/2024
Minority Association of Pre-Med Students Chapter at Oregon State University,"The Minority Association of Pre-Medical Students (MAPS) is a club that strives to increase the representation and matriculation of underrepresented minority students into medical school by fostering a collaborative environment among pre-medical students and offering professional/educational opportunities for our members. This is to ultimately address the needs of underserved communities and increase the number of clinically excellent, culturally competent, and socially conscious physicians of tomorrow.","Voluntary Student Organization, Student Experiences & Engagement",MinorityPreMed.clubs@oregonstate.edu,Recognized For: 2023/2024
Mock Trial at Oregon State University,"Mock Trial at Oregon State University is a competitive public speaking program that will help students to build skillsets in argumentative, expository, and legal discourse. We travel throughout the Pacific Northwest to compete in tournaments with other universities in the region, allowing us to network with students and legal professionals across the west coast and beyond.

Our meetings are open for anyone to attend, however a spot on our competitive teams must be earned during auditions, which take place at the start of each academic term.","Voluntary Student Organization, Student Experiences & Engagement",Mocktrial.clubs@oregonstate.edu,Recognized For: 2023/2024
Monarchs at OSU,"An Asian interest sorority group working to get established as an official OSU organization and create a sense of belonging for women that nurtures life-long friendships, develops self-empowered leaders, and strengthens communities through service, scholarship, and Asian-Awareness.","Affiliated Student Organization, Center for Fraternity & Sorority Life",Monarchs.clubs@oregonstate.edu,Recognized For: 2023/2024
Montage Collective,Montage Collective is a long-standing student art organization at Oregon State University. It is open to all students of all majors.  The collective promotes fine arts on campus and within the Corvallis community by providing critical experiences for students interested in a career in the arts.,"Voluntary Student Organization, Student Experiences & Engagement",Montage.clubs@oregonstate.edu,Recognized For: 2023/2024
Mosaic,Mosaic is a college campus ministry committed to bringing the Gospel of Jesus Christ to the world through students and faculty.,"Voluntary Student Organization, Student Experiences & Engagement",Mosaic.clubs@oregonstate.edu,Recognized For: 2023/2024
Movie Analysis Club,"Meetings take place on Friday at 6:30 in Gilfillan Auditorium. 

Film Analysis Club strives to expand club members' own critical thinking skills by watching films that tackle a variety of subjects. By using films as a jumping off point for larger discussion we offer club members an opportunity to discuss important topics, both within the world of film and beyond.","Voluntary Student Organization, Student Experiences & Engagement",MovieAnalysis.clubs@oregonstate.edu,Recognized For: 2023/2024
Multicultural Greek Council,"The Multicultural Greek Council (MGC) at Oregon State University is the governing council for multicultural and culturally-based fraternities and sororities.

Current chapters represented by the council include:

- Alpha Pi Omega Sorority, Inc.
- Gamma Alpha Omega Sorority, Inc.
- Kappa Delta Chi Sorority, Inc.
- Omega Delta Phi Fraternity, Inc.
- Sigma Beta Rho Fraternity, Inc.

It is the mission of the Multicultural Greek Council to promote diversity, communication, and cooperation among its member organizations and to advance the ideals of scholarship, service, and unity throughout the greater Oregon State University (OSU) and Corvallis Community.","Sponsored Student Organization , Center for Fraternity & Sorority Life",MulticulturalGreekCouncil.clubs@oregonstate.edu,Recognized For: 2023/2024
Music Production and Songwriting Club at OSU,Our goal is also to foster collaboration between musicians of all backgrounds. We will facilitate hands-on learning experiences for students with an interest in music production and related fields.,"Voluntary Student Organization, Student Experiences & Engagement",MusicProd.clubs@oregonstate.edu,Recognized For: 2023/2024
Muslim Student Association,"The Muslim Student Association of the Oregon State University originated primarily to bring together Muslims of diverse backgrounds and cultures under one unified, organized, proactive community. The MSA at OSU stands upon the principles of inclusiveness, responsibility, and action. As an organization aimed primarily at the student body, we strive to remain inclusive of those who wish to understand, appreciate, and practice their Islam without compromising their morals and beliefs. The MSA also reaches out to those who are not Muslims, primarily to educate them about the misconceptions regarding Islam and the Islamic way of life. Aside from fostering a social community for Muslims, the MSA encourages mental, physical, and spiritual development through an array of athletic programs, spiritual discussions, academic forums, and charity events. The ultimate goal of the MSA is to encourage both Muslims and non-Muslims to evolve intellectually, physically, and spiritually during their tenure at OSU and to become enlightened, responsible, and just individuals.","Voluntary Student Organization, Student Experiences & Engagement",MuslimStudentAssociation.clubs@oregonstate.edu,Recognized For: 2023/2024
Mycology Club at OSU,"The purpose of the Mycology Club is to organize events, forays, field trips, guest speakers, and workshops related to topics in the field of mycology, and to expose OSU students to the taxonomy, ecology, & economy of fungi.","Voluntary Student Organization, Student Experiences & Engagement",Mycology.clubs@oregonstate.edu,Recognized For: 2023/2024
National Association for the Advancement of Colored People at Oregon State University,"It is the purpose of the Association to ensure the political, education, social and economic equality of people of color in the community and to eliminate race prejudice. The Association seeks to remove all barriers to racial discrimination through the democratic processes.","Voluntary Student Organization, Student Experiences & Engagement",NAACP.clubs@oregonstate.edu,Recognized For: 2023/2024
National Pan-Hellenic Council,"The NPHC, or National Pan-Hellenic Council, also called the Divine 9, is the governing body for the 9 historically African-American fraternities and sororities. NPHC chapters are inclusive and it is not required to identify as Black to qualify for membership. Our organizations have a rich history nationwide and have been established for over 100 years.","Voluntary Student Organization, Center for Fraternity & Sorority Life",nphc.clubs@oregonstate.edu,Recognized For: 2023/2024
National Residence Hall Honorary,"The National Residence Hall Honorary at Oregon State University strives to recognize outstanding persons who contribute to the on-campus residential community through exhibiting outstanding leadership, scholarship, and service. Our goal is to positively impact our living communities, both internally and externally, through recognition, leadership, programming, diversity, and service to the community.","Department Student Organization, Student Experiences & Engagement",stoutel@oregonstate.edu,Recognized For: 2023/2024
"National Retail Federation Student Association, at Oregon State University","The NRF Student Association serves talented Merchandising Management students interested in retail careers by offering events, research, scholarships and networking opportunities.",Sponsored Student Organization sponsored by College of Business,Retail.clubs@oregonstate.edu,Recognized For: 2023/2024
National Society of Black Engineers,"The mission of the National Society of Black Engineers is to increase the number of culturally responsible Black engineers that excel academically, succeed professionally, and positively impact the community.",Sponsored Student Organization sponsored by Center for Diversity and Inclusion - COE,NSBE.clubs@oregonstate.edu,Recognized For: 2023/2024
Native American Student Association at Oregon State,"NASA is a united group of OSU Students interested in promoting Native American education in higher education institutions, to preserve and promote Native American culture and identity, to uphold Native American rights, and to retain Native American students attending Oregon State University.","Voluntary Student Organization, Student Experiences & Engagement",NASA.clubs@oregonstate.edu,Recognized For: 2023/2024
Naval Reserve Officer Training Corps at Oregon State,"NROTC at Oregon State is responsible for training Midshipman morally, mentally and physically for a career as an officer in the United States Navy or United States Marine Corps.",Sponsored Student Organization sponsored by Naval Science NROTC,NROTC.clubs@oregonstate.edu,Recognized For: 2023/2024
Navigators at Oregon State,"The Navigator's mission is to know Christ and make Him known. This mission is carried out through fellowship in the form of small group bible studies and large group meetings, as well as social events. Our goal is to help students grow in Jesus Christ as they navigate through life.


Get involved with us. Feel free to contact navigators@oregonstate.edu and follow us on social media @BEAVSNAVS for event updates!","Voluntary Student Organization, Student Experiences & Engagement",Navigators.clubs@oregonstate.edu,Recognized For: 2023/2024
Nepalese Student Association,The Nepali Student Association (NSA) is an organization established to build an inclusive community that empowers Nepalese students for their overall well-being while celebrating their rich cultural heritage.,"Voluntary Student Organization, Student Experiences & Engagement",nepalesestudentassociation.clubs@oregonstate.edu,Recognized For: 2023/2024
North American Society for Trenchless Technology,"The Oregon State University Student Chapter is affiliated with the North American Society for Trenchless Technology, typically referred to as NASTT. Trenchless Technology are the advancing solutions for assessment, rehabilitation, direct-replacement, and construction of underground infrastructure including underground guidance, tunneling methods, and specialized equipment and materials to promote better and more responsible ways to manage underground infrastructure.
Many may be familiar with construction methods such as horizontal directional drilling and microtunneling. We look forward to educating ourselves with the means and methods for trenchless solutions to our public and private developments. There are many ways to be involved and inform yourself with the technology which is unfamiliar to most engineers, project managers, geologists, and general public. We hope to promote its benefits for the public and the natural environment by increasing awareness and knowledge through technical information dissemination, research and development, education and training.","Voluntary Student Organization, Student Experiences & Engagement",nastt.clubs@oregonstate.edu,Recognized For: 2023/2024
Nutrition and Dietetics Club,"The Nutrition and Dietetics Club at OSU has meetings that focus on professional development and exploring nutrition as a career. The NDC also provides many volunteer opportunities for members that include on campus outreach and nutrition education, as well as outreach in the greater Corvallis community.","Voluntary Student Organization, Student Experiences & Engagement",NutritionandDietetics.clubs@oregonstate.edu,Recognized For: 2023/2024
Ocean11 marine club,"Ocean11 is Oregon State University's marine club comprised of students from all 11 colleges -- working, playing, exploring, learning, and serving together to experience and make a difference with our ocean and coasts. We offer Community Outreach, Field Trips, Learning Opportunities, Research & Professional Development, Next Generation Outreach, and Social Events. If you're interested in joining Ocean11, please join through https://beav.es/joinocean11. For more info contact ocean11osu@oregonstate.edu","Department Student Organization, Student Experiences & Engagement",marinestudies@oregonstate.edu,Recognized For: 2023/2024
"Omega Delta Phi Fraternity, Inc.","The purpose of this Brotherhood, a service/social fraternity, shall be to dedicate ourselves to the needs and concerns of the surrounding communities and promote and maintain the traditional values of Unity, Honesty, Integrity, and Leadership. This Brotherhood exists in order to provide any man a diverse fraternal experience which coincides with a higher education.","Affiliated Student Organization, Center for Fraternity & Sorority Life",OmegaDeltaPhi.clubs@oregonstate.edu,Recognized For: 2023/2024
Options Trading Club at Oregon State,The purpose of this organization will be to promote and engender a community for Options traders and provide opportunities for growth to the Options trading community at Oregon State. This will be done via organizing and holding sessions that help provide knowledge on various topics relating to trading options on the stock market.,Sponsored Student Organization sponsored by College of Business,OptionsTrading.clubs@oregonstate.edu,Recognized For: 2023/2024
Orange Airsoft Club,"The Orange Airsoft Club at Oregon State University is a community of enthusiasts participating in the sport of airsoft. Airsoft is a recreational activity where players use replica firearms to engage in friendly, simulated battles. Our mission is to create a safe and inclusive environment where airsoft enthusiasts can come together, learn, and engage in thrilling gameplay scenarios.

At the Orange Airsoft Club at Oregon State University, we are dedicated to making airsoft more accessible for our members. From facilitating transportation to the arena to assisting with entry fees, our club strives to ensure that everyone has the opportunity to participate. We believe in fostering a welcoming and supportive atmosphere where players can come together to hone their skills, compete in thrilling battles, and make lifelong friendships.","Voluntary Student Organization, Student Experiences & Engagement",airsoft.clubs@oregonstate.edu,Recognized For: 2023/2024
Order of Omega,"Order of Omega is a leadership honor society for members of Fraternity & Sorority organizations. Order of Omega recognizes juniors and seniors who have exemplified high standards in the areas of scholarship, leadership, involvement within their respective organization and within the Fraternity/Sorority, campus, and local community.","Voluntary Student Organization, Center for Fraternity & Sorority Life",OrderofOmega.clubs@oregonstate.edu,Recognized For: 2023/2024
Organic Growers Club,"All volunteer student-run organic farm for the past 20 years! Come to Thursday Night work parties 4:30 pm to dark, and Sunday morning work parties from 9am-12pm!! 

Check out our website for directions to the farm! RUN! WALK! BIKE! DRIVE! Come join the farm! Put your hands in the SOIL!!!","Department Student Organization, Student Experiences & Engagement",organicgrowers@oregonstate.edu,Recognized For: 2023/2024
Out in STEM,"Out in STEM works to support LGBTQ+ individuals navigating the fields of science, technology, engineering, and mathematics. By providing mentorship, engaging directly with local schools, and forming relationships with queer faculty and students of Oregon State University, we strive to increase the visibility of LGBTQ+ individuals across STEM disciplines and create an affirming community that provides aid, empathy, and opportunity.","Voluntary Student Organization, Student Experiences & Engagement",OSTEM.clubs@oregonstate.edu,Recognized For: 2023/2024
Pacific Islander Association at Oregon State University,"The purpose of our organization includes promoting diversity, leadership and professional development through the recruitment and retention of Pacific Islander Students. We will do this by, participating in community service, learning through outreach/programming, providing a welcoming, social, and supportive atmosphere for present and future Pacific Islander students; thus preserving culture and tradition by engaging in culturally educational programming at Oregon State University as well as in the greater Corvallis community.","Voluntary Student Organization, Student Experiences & Engagement",PacificIslander.clubs@oregonstate.edu,Recognized For: 2023/2024
Pagan Student Association,"The Pagan Student Association seeks to create an environment in which students can openly explore paganism and alternative earth-based spiritualities. PSA aims to facilitate general education about pagan practices and to foster religious diversity in the Oregon State community through raising awareness and promoting engagement. We wish to provide an easily accessible organization for all spiritually curious OSU students seeking fellowship, spiritual support, and networking. Our purpose can be summed up with the words “Exploration, Education, Celebration.”","Voluntary Student Organization, Student Experiences & Engagement",Paganstudents.clubs@oregonstate.edu,Recognized For: 2023/2024
Pakistan Student Association,Student organization to promote the cultures of Pakistan at OSU. Offer an environment for Pakistani students and students interested in Pakistan to interact and engage with each other.,"Index Negative Balance , Student Experiences & Engagement",Pakistan.clubs@oregonstate.edu,Recognized For: 2023/2024
Panhellenic Council,"The National Panhellenic Conference provides support and guidance for its 26 member inter/national sororities/women’s fraternities and serves as the national voice on contemporary issues of sorority life. Founded in 1902, NPC is one of the oldest and largest women’s membership organizations representing more than 4 million women at 655 college/university campuses and 4,500 local alumnae chapters in the U.S. and Canada.","Voluntary Student Organization, Center for Fraternity & Sorority Life",Panhellenic.clubs@oregonstate.edu,Recognized For: 2023/2024
Pathology Club (Previously Known as Student Chapter of The American College of Veterinary Pathologists),We seek to encourage veterinary student involvement in the field of veterinary pathology and provide an additional opportunity for the gain professional knowledge in this field.,Sponsored Student Organization sponsored by CVM - College of Veterinary Medicine,Pathology.clubs@oregonstate.edu,Recognized For: 2023/2024
People of Color in Business,Building alongside community through empowering the exploration and navigation of personal identity/s in recognition of the needs that the institution neglects to provide.,Sponsored Student Organization sponsored by College of Business,POCBusiness.clubs@oregonstate.edu,Recognized For: 2023/2024
People of Color in Politics & Law,"The People of Color in Politics & Law club is here to provide students of color with a space to learn more about how to become involved in politics, how to address challenges they might face when pursuing a career in public policy or law, provide them with free resources available to help people of color break into the fields of public policy and law, and create a space where they feel comfortable discussing how their identity has shaped their experiences.  

Students will be able to make peer connections on campus, learn about resources for graduate or law school, hear from guest speakers, and attend workshops.","Voluntary Student Organization, Student Experiences & Engagement",pocinpolitics.clubs@oregonstate.edu,Recognized For: 2023/2024
PERIOD - Corvallis Chapter,"We are a chapter of the national organization, PERIOD, helping to end period poverty and period stigma through advocacy, education, and service.","Voluntary Student Organization, Student Experiences & Engagement",PERIOD.clubs@oregonstate.edu,Recognized For: 2023/2024
